體育/sports,#genre#
NBCSN,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/d423209028/index.m3u8
Astro SuperSport 2,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/1ca38f3dec/index.m3u8
Sky Sports Mix,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/b10a2e10ff/index.m3u8
BT Sport Extra 2,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/0acfc161d2/index.m3u8
NFL Network,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/ae54ce9130/index.m3u8
BoxNation,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/c5e366ae1a/index.m3u8
True Premier Football 1,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/efd32f58e2/index.m3u8
Fox Sports 506,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/d8d80a7659/index.m3u8
WWE Raw Network,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/c2f62dcb5c/index.m3u8
Astro Arena 2,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/47a5adaecf/index.m3u8
BT Sport 1,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/9554a7cb78/index.m3u8
Sky Sports NFL,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/1d410d5240/index.m3u8
Sky Sports Racing,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/6286ce5f19/index.m3u8
Astro Cricket,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/f39cd9e8bf/index.m3u8
Euro News Live,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/a4584f82d8/index.m3u8
GOLF,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/6226b42f5d/index.m3u8
BT Sport 2,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/2899b78408/index.m3u8
Sky Sports Cricket,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/3eec7e0dba/index.m3u8
Eurosport 2,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/28bb2812c3/index.m3u8
WWE FHD,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/20c70b1958/index.m3u8
Fox Sports 507,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/b90bc278d9/index.m3u8
Tennis Plus 3,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/81002d2185/index.m3u8
BT Sport Extra 3,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/8d87855509/index.m3u8
CBS Eleven Sports Network,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/32531ceeeb/index.m3u8
8d87855509,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/e3c948ab5e/index.m3u8
Sky Racing 2,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/5c80fe6ca0/index.m3u8
Sky Sports F1,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/bf820a2de0/index.m3u8
Sky Store 2,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/dfacfc37ae/index.m3u8
Tennis Plus 1,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/4569f94056/index.m3u8
MAV TV,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/66624b9eed/index.m3u8
BT Sports 1 HD,http://e9a9b37defe7d888c.alivec.com/live/8c33fa9b/bsport19/index.m3u8
BT Sports 2 HD,http://e9a9b37defe7d888c.alivec.com/live/8c33fa9b/bsport20/index.m3u8
BT Sports 3 HD,http://e9a9b37defe7d888c.alivec.com/live/8c33fa9b/bsport21/index.m3u8
MUTV,https://bcovlive-a.akamaihd.net/r2d2c4ca5bf57456fb1d16255c1a535c8/eu-west-1/eu-west-1/6058004203001/profile_0/chunklist.m3u8 
Sky Sports PremierLeague,http://e9a9b37defe7d888c.alivec.com/live/e95cebf9/2ogiZev1/index.m3u8
Sky Action,http://e9a9b37defe7d888c.alivec.com/live/e95cebf9/ce17f162/index.m3u8
Sky Comedy,http://e9a9b37defe7d888c.alivec.com/live/e95cebf9/63a2e408/index.m3u8
Sky Disney,http://e9a9b37defe7d888c.alivec.com/live/e95cebf9/48b41389/index.m3u8
Sky Family,http://e9a9b37defe7d888c.alivec.com/live/e95cebf9/62c6cea7/index.m3u8
Sky News,http://e9a9b37defe7d888c.alivec.com/live/e95cebf9/da7390fe/index.m3u8
Sky Premiere,http://e9a9b37defe7d888c.alivec.com/live/e95cebf9/e90469f2/index.m3u8
CCTV-5 體育 HD,http://e9a9b37defe7d888c.alivec.com/live/kwzq1rse/8p5jrfhk/index.m3u8
CCTV-5+ 體育賽事 HD,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/53125da5/index.m3u8
NBA_HD,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/519b9812/index.m3u8
Sky Sports Cricket,http://e9a9b37defe7d888c.alivec.com/live/e95cebf9/3af1c8f3/index.m3u8
Sky Sports Golf,http://e9a9b37defe7d888c.alivec.com/live/e95cebf9/90f37951/index.m3u8
Sky Sports F1,http://e9a9b37defe7d888c.alivec.com/live/e95cebf9/9fda35b6/index.m3u8
Bein_Sport_1,http://e9a9b37defe7d888c.alivec.com/live/e95cebf9/8027ea12/index.m3u8
Bein_Sport_2,http://e9a9b37defe7d888c.alivec.com/live/e95cebf9/58ef8b5d/index.m3u8
Bein_Sport_3,http://e9a9b37defe7d888c.alivec.com/live/e95cebf9/9d6073b9/index.m3u8
Bein_Sport_4_Max,http://e9a9b37defe7d888c.alivec.com/live/e95cebf9/b1f2f413/index.m3u8
Bein_Sport_5_Max,http://e9a9b37defe7d888c.alivec.com/live/e95cebf9/afd88bfa/index.m3u8
Bein_Sport_6_Max,http://e9a9b37defe7d888c.alivec.com/live/e95cebf9/4f7caf00/index.m3u8
Bein_Sport_7_Max,http://e9a9b37defe7d888c.alivec.com/live/e95cebf9/774149fe/index.m3u8
Bein_Sport_8_Max,http://e9a9b37defe7d888c.alivec.com/live/e95cebf9/d672d26d/index.m3u8
緯來體育,http://e9a9b37defe7d888c.alivec.com/live/kwzq1rse/spvjqjn9/index.m3u8
緯來育樂,http://e9a9b37defe7d888c.alivec.com/live/kwzq1rse/vrn5bsmg/index.m3u8
博斯高球一臺,http://e9a9b37defe7d888c.alivec.com/live/kwzq1rse/13k597n4/index.m3u8
博斯高球Ⅱ HD,http://e9a9b37defe7d888c.alivec.com/live/kwzq1rse/p41p0chp/index.m3u8
博斯網球 HD,http://e9a9b37defe7d888c.alivec.com/live/kwzq1rse/xvtbpnqp/index.m3u8
ELTA體育 HD,http://e9a9b37defe7d888c.alivec.com/live/fadh3ct5/xx8jfqc9/index.m3u8
博斯運動1,http://e9a9b37defe7d888c.alivec.com/live/kwzq1rse/sq7kwzwq/index.m3u8
欧洲體育/sports,http://e9a9b37defe7d888c.alivec.com/live/kwzq1rse/jjf48w4x/index.m3u8
ELEVEN sports2,http://e9a9b37defe7d888c.alivec.com/live/kwzq1rse/d41d8cd9/index.m3u8
ELEVEN sports plus,http://e9a9b37defe7d888c.alivec.com/live/kwzq1rse/svs9236c/index.m3u8

美國/USA,#genre#
KTSF26,http://e9a9b37defe7d888c.alivec.com/live/8c33fa9b/dxhen221/index.m3u8
湾区电视台,http://e9a9b37defe7d888c.alivec.com/live/8c33fa9b/dxzc221x/index.m3u8
华语电视,http://e9a9b37defe7d888c.alivec.com/live/8c33fa9b/cndjcn22/index.m3u8
TVB News US,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/a9ef0b7830/index.m3u8
TVB1,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/fcd69ded54/index.m3u8
TVB J1,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/c2470fba3c/index.m3u8
TVB CLASSIC MOVIES,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/043be66c81/index.m3u8
TVB DRAMA,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/53c7009196/index.m3u8
TVB E NEWS,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/756b8f636b/index.m3u8
TVB JADE,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/b622213ec2/index.m3u8
TVB PEARL,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/fe96f22466/index.m3u8
TVB XING HE,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/43771fe3ae/index.m3u8
TVBE,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/e22fdaff8b/index.m3u8
TVBS NEWS,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/f2ebd3ef52/index.m3u8
TVBS ASIA,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/24ec41e1a7/index.m3u8
ABS News,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/d05ddbde2b/index.m3u8
AMC,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/95d7ecf63b/index.m3u8
BBC America,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/cb0b4fcc14/index.m3u8
BBC World News,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/e0d09528b0/index.m3u8
Baby TV,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/cfacd90805/index.m3u8
Bein Sports,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/a55764b098/index.m3u8
CBS,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/fee674802d/index.m3u8
CBS News,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/4f637a28c1/index.m3u8
CBS Sports Network,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/323d6b2039/index.m3u8
CBS Eleven Sports Network,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/a30aa3f4a2/index.m3u8
CNBC,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/92639b6ad5/index.m3u8
CNBC World,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/b61dc92d84/index.m3u8
CNN,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/6ce0364260/index.m3u8
Cooking Channel,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/e262a2082e/index.m3u8
Cinemax East,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1//index.m3u8
Discovery Channel,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/ae177d7b50/index.m3u8
Discovery Family,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/4571cb01e2/index.m3u8
Discovery Life,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/533d3b00d7/index.m3u8
Discovery Science,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/2bfef8fc5a/index.m3u8
Discovery Velocity,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/6bb38f3c0c/index.m3u8
Disney Channel,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/0e16bbc60b/index.m3u8
DISNEY JR HD,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/693c09fb3c/index.m3u8
Disney XD,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/f3d9b68d79/index.m3u8
ESPN,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/9be86fd709/index.m3u8
ESPN 2,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/6cd2cb7cbf/index.m3u8
ESPN U,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/9ba38ca2c6/index.m3u8
Eleven Sports HD,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/fbff862406/index.m3u8
FOX News,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/29185598b6/index.m3u8
Fox Sports 1,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/cd0b8f6d63/index.m3u8
Fox Sports 2,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/266f784742/index.m3u8
FOX Sports Prime Ticket,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/fc3b913149/index.m3u8
Freeform,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/bef745afbf/index.m3u8
FOX Boston,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/1275930766/index.m3u8
FOX Chicago,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/9347ee7ae4/index.m3u8
FOX San Diego,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/1bd7dc26e0/index.m3u8
FOX San Francisco,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/41df271021/index.m3u8
FOX New York,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/b00cca64a4/index.m3u8
Food Network,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/afebedd35e/index.m3u8
FIs For Family,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/f35c3f79e0/index.m3u8
